Micrometer (mm),Corrcted Voltage (mV)
4.94,111.67
4.95,111.87
4.96,112.27
4.97,112.47
4.98,112.67
4.99,112.87
5.00,113.07
5.01,113.27
5.02,113.57
5.03,113.87
5.04,114.07
5.05,114.17
5.06,114.37
5.07,114.47
5.08,114.67
5.09,114.87
5.10,115.17
5.11,115.37
5.12,115.57
5.13,115.67
5.14,115.77
5.15,115.77
5.16,115.87
5.17,116.07
5.18,116.07
5.19,116.07
5.20,116.07
5.21,116.27
5.22,116.47
5.23,116.57
5.24,116.47
5.25,116.37
5.26,116.67
5.27,116.87
5.28,116.87
5.29,117.07
5.30,117.27
5.31,117.27
5.32,117.47
5.33,117.47
5.34,117.47
5.35,117.57
5.36,117.67
5.37,117.67
5.38,117.67
5.39,117.77
5.40,117.97
5.41,117.87
5.42,117.87
5.43,117.97
5.44,118.03
5.45,118.87
5.46,118.87
5.47,118.87
5.48,118.77
5.49,118.77
5.50,118.77
5.51,118.77
5.52,118.67
5.53,118.67
5.54,118.57
5.55,118.57
5.56,118.47
5.57,118.47
5.58,118.37
5.59,118.27
5.60,118.07
5.61,117.97
5.62,117.77
5.63,117.57
5.64,117.37
5.65,117.27
5.66,116.97
5.67,116.77
5.68,116.57
5.69,116.37
5.70,116.17
5.71,116.07
5.72,115.87
5.73,115.57
5.74,115.37
5.75,115.07
5.76,114.67
5.77,114.27
5.78,113.97
5.79,113.57
5.80,113.37
5.81,113.07
5.82,112.77
5.83,112.57
5.84,112.27
5.85,112.07
5.86,111.77
5.87,111.47
5.88,111.17
5.89,110.97
5.90,110.67
5.91,110.57
5.92,110.27
5.93,109.97
5.94,109.67
