Micrometer (mm),Voltage (mV),Voltage Error (mV)
0.50,0.30,0.01
0.55,0.30,0.01
0.60,0.30,0.00
0.65,0.34,0.01
0.70,0.42,0.01
0.75,0.54,0.01
0.80,0.73,0.01
0.85,0.98,0.01
0.90,1.32,0.01
0.95,1.74,0.02
1.00,2.20,0.02
1.05,2.65,0.03
1.10,3.11,0.03
1.15,3.85,0.03
1.20,5.18,0.04
1.25,7.68,0.06
1.30,11.38,0.09
1.35,16.48,0.12
1.40,22.31,0.16
1.45,29.90,0.21
1.50,36.84,0.25
1.55,43.27,0.28
1.60,48.24,0.30
1.65,51.11,0.31
1.70,51.17,0.30
1.75,47.95,0.27
1.80,42.16,0.23
1.85,34.45,0.19
1.90,25.90,0.14
1.95,18.08,0.09
2.00,12.75,0.06
2.05,11.83,0.06
2.10,16.37,0.08
2.15,27.81,0.13
2.20,43.94,0.20
2.25,68.60,0.30
2.30,93.97,0.41
2.35,121.07,0.52
2.40,147.07,0.61
2.45,167.87,0.69
2.50,182.77,0.73
2.55,187.47,0.74
2.60,182.07,0.70
2.65,165.97,0.63
2.70,142.67,0.53
2.75,113.67,0.41
2.80,80.76,0.29
2.85,50.28,0.18
2.90,27.04,0.09
2.95,14.33,0.05
3.00,15.84,0.11
3.05,32.48,0.21
3.10,64.60,0.35
3.15,110.07,0.51
3.20,162.27,0.67
3.25,219.07,0.82
3.30,269.17,0.94
3.35,314.17,1.01
3.40,342.47,1.03
3.45,354.77,0.99
3.50,345.47,0.89
3.55,317.37,0.77
3.60,276.67,0.60
3.65,219.07,0.42
3.70,156.47,0.27
3.75,102.99,0.14
3.80,53.73,0.05
3.85,17.70,0.01
3.90,5.73,0.04
3.95,15.62,0.12
4.00,49.67,0.24
4.05,98.27,0.39
4.10,160.17,0.55
4.15,229.87,0.71
4.20,297.77,0.83
4.25,353.27,0.91
4.30,393.07,0.95
4.35,411.67,0.93
4.40,407.07,0.86
4.45,380.67,0.73
4.50,329.27,0.59
4.55,270.37,0.45
4.60,204.77,0.29
4.65,134.27,0.16
4.70,74.94,0.06
4.75,30.40,0.01
4.80,2.99,0.00
4.85,1.04,0.03
4.90,14.96,0.11
4.95,52.32,0.20
5.00,98.77,0.31
5.05,156.57,0.42
5.10,213.77,0.52
5.15,265.57,0.58
5.20,300.97,0.62
5.25,323.17,0.62
5.30,326.77,0.58
5.35,311.07,0.52
5.40,280.37,0.43
5.45,234.37,0.33
5.50,182.77,0.23
5.55,129.37,0.14
5.60,80.62,0.07
5.65,39.61,0.02
5.70,12.53,0.00
5.75,0.95,0.00
5.80,1.17,0.02
5.85,13.79,0.07
5.90,38.40,0.11
5.95,66.35,0.17
6.00,100.57,0.21
6.05,128.27,0.25
6.10,151.67,0.27
6.15,165.07,0.27
6.20,168.87,0.26
6.25,163.27,0.24
6.30,148.57,0.20
6.35,127.87,0.16
6.40,101.80,0.12
6.45,75.49,0.08
6.50,49.05,0.04
6.55,27.80,0.02
6.60,13.63,0.01
6.65,4.09,0.00
6.70,1.23,0.00
6.75,1.85,0.01
6.80,7.34,0.02
6.85,13.95,0.03
6.90,22.28,0.04
6.95,29.97,0.05
7.00,35.25,0.05
7.05,37.88,0.05
7.10,37.87,0.05
7.15,35.59,0.04
7.20,31.57,0.04
7.25,25.59,0.03
7.30,19.70,0.02
7.35,13.40,0.01
7.40,9.05,0.01
7.45,5.06,0.00
7.50,2.52,0.00
7.55,1.45,0.00
7.60,1.09,0
7.65,0.95,0
7.70,0.86,0
7.75,0.77,0
7.80,0.66,0
7.85,0.56,0
7.90,0.43,0
7.95,0.32,0
8.00,0.23,0
8.05,0.18,0
8.10,0.14,0
8.15,0.13,0
8.20,0.12,0
8.25,0.12,0
8.30,0.13,0
8.35,0.17,0
8.40,0.20,0
8.45,0.16,0
8.50,0.11,0
